,index,area of operation,country_aor
0,Abdallah Azzam Brigades (AAB),primarily Lebanon also active in Gaza and Syria,LBN
0,Abdallah Azzam Brigades (AAB),primarily Lebanon also active in Gaza and Syria,PSE
0,Abdallah Azzam Brigades (AAB),primarily Lebanon also active in Gaza and Syria,SYR
1,Abu Sayyaf Group (ASG),the southern Philippines especially Basilan Jolo and Tawi Tawi islands and their surrounding waters as well as Mindanao also has been active in Malaysia,MYS
1,Abu Sayyaf Group (ASG),the southern Philippines especially Basilan Jolo and Tawi Tawi islands and their surrounding waters as well as Mindanao also has been active in Malaysia,PHL
2,Al-Aqsa Martyrs Brigade (AAMB),Israel Gaza and the West Bank has members in Palestinian refugee camps in Lebanon,ISR
2,Al-Aqsa Martyrs Brigade (AAMB),Israel Gaza and the West Bank has members in Palestinian refugee camps in Lebanon,LBN
2,Al-Aqsa Martyrs Brigade (AAMB),Israel Gaza and the West Bank has members in Palestinian refugee camps in Lebanon,PSE
3,al-Ashtar Brigades (AAB),based in Bahrain its leaders and some members are located in Iran,BHR
3,al-Ashtar Brigades (AAB),based in Bahrain its leaders and some members are located in Iran,IRN
4,al-Mourabitoun,Algeria Burkina Faso Libya Mali and Niger,BFA
4,al-Mourabitoun,Algeria Burkina Faso Libya Mali and Niger,DZA
4,al-Mourabitoun,Algeria Burkina Faso Libya Mali and Niger,LBY
4,al-Mourabitoun,Algeria Burkina Faso Libya Mali and Niger,MLI
4,al-Mourabitoun,Algeria Burkina Faso Libya Mali and Niger,NER
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,AFG
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,BGD
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,IND
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,IRN
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,PAK
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,SOM
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,SYR
5,al-Qa'ida (AQ),based in South Asia with core members in Afghanistan Iran Pakistan considers Afghanistan as an ideological and logistical hub to mobilize and recruit new fighters and rebuild its external operations capability employs an affiliate or proxy model which includes al Qa’ida in the Arabian Peninsula Yemen al Qa’ida in the Islamic Maghreb North Africa and the Sahel Hurras al Din Syria al Shabaab Somalia and al Qa’ida in the Indian Subcontinent Afghanistan Bangladesh India and Pakistan has supporters sympathizers and associates worldwide maintains a strong online presence and individuals inspired by the group's ideology may conduct operations without direction from its central leadership opportunistically enters or secures the allegiance of participants in local conflicts,YEM
6,al-Qa'ida in the Arabian Peninsula (AQAP),operates primarily in southern and central Yemen probably has a limited presence in Saudi Arabia,YEM
7,al-Qa'ida in the Indian Subcontinent (AQIS),Afghanistan Bangladesh India and Pakistan ,AFG
7,al-Qa'ida in the Indian Subcontinent (AQIS),Afghanistan Bangladesh India and Pakistan ,BGD
7,al-Qa'ida in the Indian Subcontinent (AQIS),Afghanistan Bangladesh India and Pakistan ,IND
7,al-Qa'ida in the Indian Subcontinent (AQIS),Afghanistan Bangladesh India and Pakistan ,PAK
8,al-Qaida in the Islamic Maghreb (AQIM),has historically operated in the coastal areas of northern Algeria and in Libya and Tunisia but counterterrorism efforts have forced it largely into the Sahel region including Mali has claimed attacks in Algeria Burkina Faso Cote d'Ivoire and Mali,BFA
8,al-Qaida in the Islamic Maghreb (AQIM),has historically operated in the coastal areas of northern Algeria and in Libya and Tunisia but counterterrorism efforts have forced it largely into the Sahel region including Mali has claimed attacks in Algeria Burkina Faso Cote d'Ivoire and Mali,CIV
8,al-Qaida in the Islamic Maghreb (AQIM),has historically operated in the coastal areas of northern Algeria and in Libya and Tunisia but counterterrorism efforts have forced it largely into the Sahel region including Mali has claimed attacks in Algeria Burkina Faso Cote d'Ivoire and Mali,DZA
8,al-Qaida in the Islamic Maghreb (AQIM),has historically operated in the coastal areas of northern Algeria and in Libya and Tunisia but counterterrorism efforts have forced it largely into the Sahel region including Mali has claimed attacks in Algeria Burkina Faso Cote d'Ivoire and Mali,LBY
